name,group,value,lastValue,year,rank
上海,east,2114,2114,1979,1
上海,east,2116,2114,1980,1
上海,east,2086,2116,1981,1
上海,east,2109,2086,1982,1
上海,east,2109,2109,1983,1
上海,east,2136,2109,1984,1
上海,east,2058,2136,1985,1
上海,east,2348,2058,1986,1
上海,east,2681,2348,1987,1
上海,east,2728,2681,1988,1
上海,east,2904,2728,1989,1
上海,east,3050,2904,1990,1
上海,east,3165,3050,1991,1
上海,east,3625,3165,1992,1
上海,east,3677,3625,1993,1
上海,east,3721,3677,1994,1
上海,east,3787,3721,1995,1
上海,east,3881,3787,1996,0
上海,east,3961,3881,1997,0
上海,east,4104,3961,1998,0
上海,east,4231,4104,1999,0
上海,east,4325,4231,2000,0
上海,east,6078,4325,2001,0
上海,east,6286,6078,2002,0
上海,east,6484,6286,2003,0
上海,east,7805,6484,2004,0
上海,east,8110,7805,2005,0
上海,east,10392,8110,2006,0
上海,east,11163,10392,2007,0
上海,east,11497,11163,2008,0
上海,east,11671,11497,2009,0
上海,east,11974,11671,2010,0
上海,east,12084,11974,2011,0
上海,east,12541,12084,2012,0
上海,east,12633,12541,2013,0
上海,east,12945,12633,2014,0
上海,east,13195,12945,2015,0
上海,east,13292,13195,2016,0
上海,east,13322,13292,2017,0
上海,east,0,13322,2018,8
云南,southwest,44149,44149,1979,26
云南,southwest,45171,44149,1980,27
云南,southwest,45753,45171,1981,27
云南,southwest,46053,45753,1982,27
云南,southwest,46230,46053,1983,27
云南,southwest,46560,46230,1984,27
云南,southwest,49541,46560,1985,27
云南,southwest,49866,49541,1986,27
云南,southwest,49879,49866,1987,27
云南,southwest,52534,49879,1988,27
云南,southwest,54732,52534,1989,28
云南,southwest,56536,54732,1990,28
云南,southwest,58123,56536,1991,29
云南,southwest,60045,58123,1992,29
云南,southwest,63086,60045,1993,29
云南,southwest,65578,63086,1994,28
云南,southwest,68236,65578,1995,28
云南,southwest,70279,68236,1996,28
云南,southwest,73821,70279,1997,28
云南,southwest,76957,73821,1998,28
云南,southwest,102405,76957,1999,30
云南,southwest,109560,102405,2000,30
云南,southwest,163953,109560,2001,30
云南,southwest,164852,163953,2002,30
云南,southwest,166133,164852,2003,30
云南,southwest,167050,166133,2004,30
云南,southwest,167638,167050,2005,30
云南,southwest,198496,167638,2006,28
云南,southwest,200333,198496,2007,28
云南,southwest,203753,200333,2008,27
云南,southwest,206028,203753,2009,27
云南,southwest,209231,206028,2010,26
云南,southwest,214524,209231,2011,26
云南,southwest,219052,214524,2012,26
云南,southwest,222940,219052,2013,25
云南,southwest,230398,222940,2014,25
云南,southwest,236007,230398,2015,25
云南,southwest,238052,236007,2016,25
云南,southwest,242546,238052,2017,26
云南,southwest,0,242546,2018,24
内蒙古,north,35198,35198,1979,22
内蒙古,north,35016,35198,1980,20
内蒙古,north,35856,35016,1981,21
内蒙古,north,36132,35856,1982,21
内蒙古,north,36727,36132,1983,21
内蒙古,north,37456,36727,1984,22
内蒙古,north,38198,37456,1985,22
内蒙古,north,40380,38198,1986,23
内蒙古,north,41984,40380,1987,24
内蒙古,north,42800,41984,1988,24
内蒙古,north,43080,42800,1989,24
内蒙古,north,43274,43080,1990,23
内蒙古,north,43396,43274,1991,22
内蒙古,north,43704,43396,1992,22
内蒙古,north,43789,43704,1993,21
内蒙古,north,44202,43789,1994,20
内蒙古,north,44753,44202,1995,20
内蒙古,north,45744,44753,1996,20
内蒙古,north,49992,45744,1997,22
内蒙古,north,58430,49992,1998,25
内蒙古,north,63824,58430,1999,26
内蒙古,north,67346,63824,2000,26
内蒙古,north,70408,67346,2001,24
内蒙古,north,72673,70408,2002,23
内蒙古,north,74135,72673,2003,23
内蒙古,north,75976,74135,2004,22
内蒙古,north,79029,75976,2005,21
内蒙古,north,128762,79029,2006,19
内蒙古,north,138610,128762,2007,19
内蒙古,north,147288,138610,2008,20
内蒙古,north,150756,147288,2009,21
内蒙古,north,157994,150756,2010,23
内蒙古,north,160995,157994,2011,23
内蒙古,north,163763,160995,2012,20
内蒙古,north,167515,163763,2013,19
内蒙古,north,172167,167515,2014,19
内蒙古,north,175374,172167,2015,19
内蒙古,north,196061,175374,2016,22
内蒙古,north,199423,196061,2017,22
内蒙古,north,0,199423,2018,4
北京,north,7417,7417,1979,4
北京,north,7478,7417,1980,4
北京,north,7566,7478,1981,4
北京,north,7683,7566,1982,4
北京,north,8058,7683,1983,4
北京,north,8271,8058,1984,4
北京,north,8482,8271,1985,4
北京,north,8995,8482,1986,4
北京,north,9103,8995,1987,4
北京,north,9124,9103,1988,4
北京,north,9371,9124,1989,4
北京,north,9648,9371,1990,4
北京,north,10259,9648,1991,4
北京,north,10827,10259,1992,4
北京,north,11260,10827,1993,4
北京,north,11532,11260,1994,4
北京,north,11811,11532,1995,4
北京,north,12084,11811,1996,3
北京,north,12306,12084,1997,3
北京,north,12498,12306,1998,3
北京,north,12825,12498,1999,3
北京,north,13597,12825,2000,3
北京,north,13891,13597,2001,3
北京,north,14359,13891,2002,3
北京,north,14453,14359,2003,3
北京,north,14630,14453,2004,3
北京,north,14696,14630,2005,3
北京,north,20503,14696,2006,4
北京,north,20754,20503,2007,4
北京,north,20340,20754,2008,3
北京,north,20755,20340,2009,3
北京,north,21114,20755,2010,2
北京,north,21347,21114,2011,2
北京,north,21492,21347,2012,2
北京,north,21673,21492,2013,2
北京,north,21849,21673,2014,2
北京,north,21885,21849,2015,2
北京,north,22026,21885,2016,2
北京,north,22226,22026,2017,2
北京,north,0,22226,2018,0
吉林,northeastern,23545,23545,1979,11
吉林,northeastern,23545,23545,1980,11
吉林,northeastern,24026,23545,1981,11
吉林,northeastern,24047,24026,1982,11
吉林,northeastern,24114,24047,1983,11
吉林,northeastern,24271,24114,1984,11
吉林,northeastern,24271,24271,1985,11
吉林,northeastern,24625,24271,1986,10
吉林,northeastern,24688,24625,1987,9
吉林,northeastern,24966,24688,1988,9
吉林,northeastern,25326,24966,1989,9
吉林,northeastern,26468,25326,1990,10
吉林,northeastern,27110,26468,1991,10
吉林,northeastern,27192,27110,1992,10
吉林,northeastern,28373,27192,1993,10
吉林,northeastern,29581,28373,1994,10
吉林,northeastern,31321,29581,1995,10
吉林,northeastern,32098,31321,1996,10
吉林,northeastern,33075,32098,1997,10
吉林,northeastern,33812,33075,1998,11
吉林,northeastern,34516,33812,1999,11
吉林,northeastern,35216,34516,2000,11
吉林,northeastern,39747,35216,2001,9
吉林,northeastern,41095,39747,2002,9
吉林,northeastern,43779,41095,2003,9
吉林,northeastern,46796,43779,2004,10
吉林,northeastern,50308,46796,2005,11
